MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.018066	s	4/15/2019 3:41:17 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
10.382355	68.892601	4.8955078
10.383457	70.37059	4.9052734
10.385406	77.895317	4.9150391
10.384421	75.578781	4.9248047
10.385227	70.833817	4.9345703
10.387012	68.887009	4.9443359
10.387189	70.736443	4.9541016
10.388671	77.655518	4.9638672
10.388419	77.166786	4.9736328
10.389018	80.221748	4.9833984
10.390363	81.064713	4.9931641
10.391757	74.224503	5.0029297
10.392112	73.292641	5.0126953
10.392936	74.314522	5.0224609
10.394011	80.174423	5.0322266
10.394018	85.847412	5.0419922
10.395864	83.980553	5.0517578
10.397386	76.217155	5.0615234
10.396784	75.197456	5.0712891
10.397701	77.028908	5.0810547
10.39817	82.504669	5.0908203
10.399812	87.249466	5.1005859
10.399957	86.644394	5.1103516
10.401719	85.207642	5.1201172
10.402947	79.42012	5.1298828
10.402407	77.927971	5.1396484
10.404614	84.234634	5.1494141
10.404249	90.199013	5.1591797
10.404325	91.532562	5.1689453
10.406052	86.905151	5.1787109
10.406576	79.946114	5.1884766
10.407662	82.716743	5.1982422
10.408913	84.666931	5.2080078
10.408946	90.979691	5.2177734
10.409099	92.819229	5.2275391
10.410359	92.769737	5.2373047
10.410985	89.134315	5.2470703
10.411545	81.346352	5.2568359
10.414042	85.896721	5.2666016
10.413778	94.987106	5.2763672
10.414854	96.914314	5.2861328
10.415977	98.611809	5.2958984
10.417615	90.883804	5.3056641
10.417307	91.641357	5.3154297
10.418319	89.671562	5.3251953
10.418465	93.798294	5.3349609
10.420266	98.852776	5.3447266
10.420341	100.15536	5.3544922
10.421453	99.727028	5.3642578
10.423027	93.335251	5.3740234
10.423755	91.214684	5.3837891
10.424027	95.607841	5.3935547
10.424854	99.073158	5.4033203
10.425711	102.51987	5.4130859
10.426582	99.615326	5.4228516
10.426927	97.848999	5.4326172
10.428128	97.467247	5.4423828
10.429153	96.705505	5.4521484
10.429828	99.457336	5.4619141
10.43062	104.90456	5.4716797
10.431581	105.83529	5.4814453
10.432837	100.77408	5.4912109
10.432877	99.605774	5.5009766
10.433951	98.254013	5.5107422
10.434243	103.12306	5.5205078
10.435006	105.75169	5.5302734
10.436377	106.08334	5.5400391
10.437922	107.82699	5.5498047
10.437803	106.35746	5.5595703
10.438924	104.65247	5.5693359
10.439323	102.72862	5.5791016
10.44005	104.13367	5.5888672
10.440723	114.25538	5.5986328
10.441154	110.84742	5.6083984
10.443349	109.78123	5.6181641
10.44234	104.93832	5.6279297
10.443727	105.11302	5.6376953
10.443769	113.1422	5.6474609
10.445925	112.55571	5.6572266
10.446038	117.57306	5.6669922
10.447925	116.05552	5.6767578
10.448339	110.58165	5.6865234
10.44852	109.4374	5.6962891
10.449527	107.277	5.7060547
10.451136	117.27114	5.7158203
10.451632	121.12984	5.7255859
10.452274	119.20956	5.7353516
10.453899	115.54166	5.7451172
10.453957	110.4645	5.7548828
10.454597	114.27406	5.7646484
10.454548	115.49773	5.7744141
10.457021	122.38087	5.7841797
10.457852	122.23914	5.7939453
10.458994	120.38967	5.8037109
10.458323	116.40768	5.8134766
10.4604	112.25491	5.8232422
10.460319	116.37678	5.8330078
10.46174	124.40124	5.8427734
10.462395	126.45216	5.8525391
10.462981	123.22571	5.8623047
10.462839	119.23119	5.8720703
10.465343	117.6437	5.8818359
10.466101	117.76038	5.8916016
10.465279	123.09081	5.9013672
10.466388	126.38445	5.9111328
10.467311	129.63635	5.9208984
10.468961	125.63336	5.9306641
10.468938	118.14457	5.9404297
10.469675	121.10187	5.9501953
10.471913	126.12587	5.9599609
10.472341	131.78433	5.9697266
10.473063	130.44658	5.9794922
10.47324	126.48365	5.9892578
10.474524	126.50831	5.9990234
10.474974	122.72707	6.0087891
10.475425	126.43127	6.0185547
10.477062	131.06093	6.0283203
10.47655	133.89182	6.0380859
10.478975	135.22432	6.0478516
10.479824	126.89005	6.0576172
10.479048	126.19683	6.0673828
10.480645	128.43016	6.0771484
10.481225	132.96637	6.0869141
10.481709	138.7213	6.0966797
10.483661	136.10347	6.1064453
10.484434	133.93167	6.1162109
10.485497	135.02483	6.1259766
10.485695	130.30157	6.1357422
10.486579	134.77318	6.1455078
10.487011	136.76941	6.1552734
10.487755	142.63176	6.1650391
10.489766	138.13698	6.1748047
10.489596	134.97394	6.1845703
10.490441	133.20708	6.1943359
10.491368	134.09041	6.2041016
10.491799	139.91612	6.2138672
10.493031	141.1781	6.2236328
10.493264	142.31268	6.2333984
10.494901	144.03714	6.2431641
10.495361	138.53517	6.2529297
10.497175	136.25134	6.2626953
10.497251	139.24994	6.2724609
10.497733	146.6362	6.2822266
10.497801	147.91304	6.2919922
10.49891	146.2131	6.3017578
10.50027	139.90886	6.3115234
10.501155	140.83759	6.3212891
10.502293	143.02107	6.3310547
10.502726	143.18671	6.3408203
10.503398	151.07837	6.3505859
10.505558	151.09804	6.3603516
10.505585	147.03136	6.3701172
10.506459	143.02332	6.3798828
10.506338	140.17104	6.3896484
10.506132	148.71982	6.3994141
10.508622	152.44106	6.4091797
10.509644	152.8923	6.4189453
10.510299	150.17548	6.4287109
10.511447	145.88174	6.4384766
10.512412	146.55635	6.4482422
10.513401	145.4101	6.4580078
10.512752	153.68333	6.4677734
10.513305	157.70085	6.4775391
10.514423	155.13116	6.4873047
10.515346	150.68527	6.4970703
10.515615	144.76909	6.5068359
10.51725	149.88405	6.5166016
10.51793	155.17987	6.5263672
10.518499	159.57126	6.5361328
10.519946	159.68997	6.5458984
10.521306	154.57155	6.5556641
10.520338	152.93405	6.5654297
10.521558	151.35092	6.5751953
10.52332	156.90927	6.5849609
10.524093	162.39386	6.5947266
10.525309	164.12363	6.6044922
10.526237	160.62277	6.6142578
10.526562	154.29108	6.6240234
10.527196	153.172	6.6337891
10.528588	158.12752	6.6435547
10.52935	164.31496	6.6533203
10.529127	164.51875	6.6630859
10.530423	164.27014	6.6728516
10.531513	159.85905	6.6826172
10.532016	158.36195	6.6923828
10.532179	159.69476	6.7021484
10.5348	163.28717	6.7119141
10.534439	166.40012	6.7216797
10.53586	169.99091	6.7314453
10.53708	163.14401	6.7412109
10.536596	162.63458	6.7509766
10.537683	161.97581	6.7607422
10.538356	165.82124	6.7705078
10.539032	171.23824	6.7802734
10.539997	169.49573	6.7900391
10.542392	171.481	6.7998047
10.541558	168.33859	6.8095703
10.542538	164.48747	6.8193359
10.543966	166.51871	6.8291016
10.543921	168.72395	6.8388672
10.545444	177.75484	6.8486328
10.54612	174.5181	6.8583984
10.546567	171.61694	6.8681641
10.547375	168.64619	6.8779297
10.548178	168.88362	6.8876953
10.548754	172.29611	6.8974609
10.54985	173.79103	6.9072266
10.551023	179.95863	6.9169922
10.550929	179.00529	6.9267578
10.551867	174.84561	6.9365234
10.552816	170.86998	6.9462891
10.553593	171.7394	6.9560547
10.555065	178.90483	6.9658203
10.555742	182.40111	6.9755859
10.556931	181.80345	6.9853516
10.557619	176.47536	6.9951172
10.558087	175.28149	7.0048828
10.557945	176.91702	7.0146484
10.559898	176.21541	7.0244141
10.560847	184.06035	7.0341797
10.561177	186.58644	7.0439453
10.562428	184.82999	7.0537109
10.563581	175.80347	7.0634766
10.5654	174.97578	7.0732422
10.563576	181.86377	7.0830078
10.565224	185.36731	7.0927734
10.566172	188.50357	7.1025391
10.56742	185.0152	7.1123047
10.567433	182.98929	7.1220703
10.568978	182.10196	7.1318359
10.569142	179.12094	7.1416016
10.569585	186.63081	7.1513672
10.571881	191.47292	7.1611328
10.572534	191.70969	7.1708984
10.572777	189.3121	7.1806641
10.572421	179.60504	7.1904297
