MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.02002	s	4/13/2019 7:12:10 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-39.573807	178.94209	5.6877441
-39.573452	187.56302	5.6975098
-39.572834	188.60484	5.7072754
-39.572872	179.04854	5.717041
-39.571682	168.8056	5.7268066
-39.571236	165.14172	5.7365723
-39.57127	173.76799	5.7463379
-39.569515	184.14847	5.7561035
-39.568489	192.02481	5.7658691
-39.567425	188.64595	5.7756348
-39.567219	173.46358	5.7854004
-39.56604	170.97546	5.795166
-39.563999	174.08768	5.8049316
-39.564732	186.46791	5.8146973
-39.563332	196.33885	5.8244629
-39.56358	190.83258	5.8342285
-39.561943	185.70447	5.8439941
-39.562088	174.20407	5.8537598
-39.56036	173.65913	5.8635254
-39.560101	182.86017	5.873291
-39.558182	192.45131	5.8830566
-39.557041	200.84268	5.8928223
-39.557182	190.33144	5.9025879
-39.555794	180.84618	5.9123535
-39.555843	175.24286	5.9221191
-39.554546	182.19272	5.9318848
-39.553741	194.57877	5.9416504
-39.553024	198.5668	5.951416
-39.551765	198.84702	5.9611816
-39.551254	190.33029	5.9709473
-39.549149	181.06439	5.9807129
-39.550018	180.5522	5.9904785
-39.5495	189.99902	6.0002441
-39.547199	203.09415	6.0100098
-39.546555	205.23303	6.0197754
-39.547718	196.47694	6.029541
-39.546265	186.15698	6.0393066
-39.545288	183.144	6.0490723
-39.544182	189.62335	6.0588379
-39.543182	200.88869	6.0686035
-39.54324	208.60095	6.0783691
-39.540539	205.18715	6.0881348
-39.540512	195.01202	6.0979004
-39.539413	186.54619	6.107666
-39.539989	185.61884	6.1174316
-39.5378	200.07649	6.1271973
-39.538372	209.23553	6.1369629
-39.53677	211.41699	6.1467285
-39.535984	199.61072	6.1564941
-39.534939	188.03877	6.1662598
-39.533688	190.6266	6.1760254
-39.533443	195.03107	6.185791
-39.532227	212.01895	6.1955566
-39.531178	214.58836	6.2053223
-39.531651	209.11826	6.2150879
-39.529697	198.31432	6.2248535
-39.527946	186.5453	6.2346191
-39.529667	195.66035	6.2443848
-39.526501	209.81984	6.2541504
-39.525784	216.74597	6.263916
-39.527927	215.00725	6.2736816
-39.526638	202.98297	6.2834473
-39.524136	196.56242	6.2932129
-39.52322	195.87712	6.3029785
-39.522915	206.97679	6.3127441
-39.521702	218.93565	6.3225098
-39.520386	219.1163	6.3322754
-39.519955	213.54619	6.342041
-39.519287	199.03505	6.3518066
-39.518734	195.44109	6.3615723
-39.517628	206.31793	6.3713379
-39.517109	219.7681	6.3811035
-39.516418	222.9317	6.3908691
-39.515896	216.041	6.4006348
-39.514389	207.37656	6.4104004
-39.514168	201.91862	6.420166
-39.51339	204.03119	6.4299316
-39.512932	214.76161	6.4396973
-39.511734	224.68672	6.4494629
-39.509724	227.13232	6.4592285
-39.510021	212.69365	6.4689941
-39.508427	206.55504	6.4787598
-39.509056	204.41965	6.4885254
-39.50806	214.43527	6.498291
-39.506393	225.76942	6.5080566
-39.50639	227.83096	6.5178223
-39.504311	223.9313	6.5275879
-39.504463	213.11916	6.5373535
