MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_090_r0			Time:	20.025879	s	4/15/2019 3:48:13 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
10.553222	173.57701	6.9638672
10.552963	177.84302	6.9736328
10.554111	180.46375	6.9833984
10.55503	180.26839	6.9931641
10.556323	178.94164	7.0029297
10.557334	176.80276	7.0126953
10.557538	175.70918	7.0224609
10.558989	174.9792	7.0322266
10.560055	183.6041	7.0419922
10.559863	183.79628	7.0517578
10.56113	181.86171	7.0615234
10.561894	179.65201	7.0712891
10.562813	175.78305	7.0810547
10.563032	181.22604	7.0908203
10.564638	183.15504	7.1005859
10.565488	184.91125	7.1103516
10.565434	185.98323	7.1201172
10.566575	184.69733	7.1298828
10.568397	182.72231	7.1396484
10.566807	181.37617	7.1494141
10.569781	181.54776	7.1591797
10.57018	190.7205	7.1689453
10.570185	189.91466	7.1787109
10.571342	189.32001	7.1884766
10.573106	184.48732	7.1982422
10.572954	183.5108	7.2080078
10.574092	188.56923	7.2177734
10.574288	187.45963	7.2275391
10.575247	193.9575	7.2373047
10.577157	194.11172	7.2470703
10.577258	190.98952	7.2568359
10.577598	186.23761	7.2666016
10.577822	184.21056	7.2763672
10.57991	192.58925	7.2861328
10.580521	198.97766	7.2958984
10.581316	197.97032	7.3056641
10.582251	194.61363	7.3154297
10.582592	190.11238	7.3251953
10.584605	190.70914	7.3349609
10.584749	192.28291	7.3447266
10.586245	197.72234	7.3544922
10.586241	202.29834	7.3642578
10.587404	201.21178	7.3740234
10.587571	193.91432	7.3837891
10.587399	189.99521	7.3935547
10.589555	192.43446	7.4033203
10.590161	201.12244	7.4130859
10.591508	204.19826	7.4228516
10.591747	203.0952	7.4326172
10.59234	198.55711	7.4423828
10.592657	196.94868	7.4521484
10.593493	195.24515	7.4619141
10.594609	200.67632	7.4716797
10.595333	204.7827	7.4814453
10.596911	207.2338	7.4912109
10.597937	205.15067	7.5009766
10.597655	195.80499	7.5107422
10.599863	197.52299	7.5205078
10.599629	202.53174	7.5302734
10.600792	208.75369	7.5400391
10.602263	208.87776	7.5498047
10.603056	205.31331	7.5595703
10.603609	205.97032	7.5693359
10.603592	202.0401	7.5791016
10.604371	202.14685	7.5888672
10.606571	206.80347	7.5986328
10.606472	210.83163	7.6083984
10.608539	214.82924	7.6181641
10.608909	207.63525	7.6279297
10.609083	206.26018	7.6376953
10.609878	206.44041	7.6474609
10.611079	209.15021	7.6572266
10.610884	213.06924	7.6669922
10.612076	214.7292	7.6767578
10.613358	211.87425	7.6865234
10.613761	211.99533	7.6962891
10.614477	207.51471	7.7060547
10.616049	209.45218	7.7158203
