MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.02002	s	4/15/2019 7:20:11 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
10.416332	161.40903	5.3178711
10.416362	164.38184	5.3276367
10.416588	168.81337	5.3374023
10.418814	169.13699	5.347168
10.419359	163.9688	5.3569336
10.419824	161.35092	5.3666992
10.42154	165.47887	5.3764648
10.421088	169.06595	5.3862305
10.421923	170.61284	5.3959961
10.422601	172.31709	5.4057617
10.424102	169.74915	5.4155273
10.425519	167.14572	5.425293
10.425603	166.86095	5.4350586
10.426637	167.03142	5.4448242
10.427143	173.80081	5.4545898
10.428681	175.42769	5.4643555
10.429192	173.85289	5.4741211
10.429324	168.21712	5.4838867
10.430446	169.49785	5.4936523
10.431697	172.75189	5.503418
10.43191	173.43642	5.5131836
10.433705	179.22089	5.5229492
10.433492	177.25436	5.5327148
10.43528	175.76871	5.5424805
10.435288	171.40871	5.5522461
10.435643	169.65253	5.5620117
10.43766	176.70116	5.5717773
10.438338	183.0256	5.581543
10.439229	182.80962	5.5913086
10.439752	177.67024	5.6010742
10.440014	173.82776	5.6108398
10.441483	177.33772	5.6206055
10.442188	176.80472	5.6303711
10.443637	181.44508	5.6401367
10.443193	186.24855	5.6499023
10.444076	184.37231	5.659668
10.445046	180.58084	5.6694336
10.445912	174.20248	5.6791992
10.447206	178.74312	5.6889648
10.448185	186.65961	5.6987305
10.448728	187.84669	5.7084961
10.449422	185.99948	5.7182617
10.450489	181.84431	5.7280273
10.45109	182.99974	5.737793
10.451699	183.87521	5.7475586
10.453041	186.31262	5.7573242
10.453062	190.41545	5.7670898
10.453974	192.08762	5.7768555
10.455083	188.4595	5.7866211
10.455458	183.24126	5.7963867
10.457211	183.43234	5.8061523
10.457094	187.90958	5.815918
10.458117	193.09663	5.8256836
10.458686	192.61879	5.8354492
10.460102	189.75735	5.8452148
10.461334	188.91762	5.8549805
10.461198	187.83722	5.8647461
10.461797	189.59662	5.8745117
10.463218	192.39227	5.8842773
10.463204	196.42746	5.894043
10.465071	198.57712	5.9038086
10.464872	192.92747	5.9135742
10.465522	192.76317	5.9233398
10.467435	192.09215	5.9331055
10.468444	197.8205	5.9428711
10.468739	198.41415	5.9526367
10.470272	198.84879	5.9624023
10.470916	198.50076	5.972168
10.471316	198.1799	5.9819336
10.472965	193.60735	5.9916992
10.472641	195.12558	6.0014648
10.473772	197.94998	6.0112305
10.475442	205.21016	6.0209961
10.474082	202.6259	6.0307617
10.475522	200.65834	6.0405273
10.477495	197.50008	6.050293
10.478234	199.45686	6.0600586
10.478961	202.08159	6.0698242
10.479581	203.25777	6.0795898
10.479219	205.70415	6.0893555
10.481215	208.81209	6.0991211
10.482103	203.76364	6.1088867
10.48278	198.13672	6.1186523
10.483553	201.89024	6.128418
10.484741	208.18582	6.1381836
10.484563	210.45041	6.1479492
10.4859	210.77023	6.1577148
10.486986	203.17111	6.1674805
10.487123	203.71255	6.1772461
10.488207	204.1929	6.1870117
10.489204	207.34796	6.1967773
10.489423	212.46414	6.206543
10.491029	212.82912	6.2163086
10.490946	213.63445	6.2260742
10.492271	207.56326	6.2358398
10.492826	204.29347	6.2456055
10.494211	211.21434	6.2553711
10.494641	215.67632	6.2651367
10.495604	218.88647	6.2749023
10.496867	214.12512	6.284668
10.497103	209.69278	6.2944336
10.497951	210.89873	6.3041992
10.498747	210.39026	6.3139648
10.500396	216.7952	6.3237305
10.500602	220.627	6.3334961
10.501183	219.43848	6.3432617
10.501762	217.50729	6.3530273
10.502669	210.9016	6.362793
10.503906	213.95955	6.3725586
10.505162	218.71434	6.3823242
10.505524	223.68425	6.3920898
10.505342	222.14349	6.4018555
10.507076	219.62448	6.4116211
10.508054	218.118	6.4213867
10.509526	215.87637	6.4311523
10.510052	220.0871	6.440918
10.51048	223.66483	6.4506836
10.5114	227.1732	6.4604492
10.512254	227.21339	6.4702148
10.512236	219.63632	6.4799805
10.513261	219.11339	6.4897461
10.513693	221.23848	6.4995117
10.515697	226.57492	6.5092773
10.516861	227.74628	6.519043
10.516801	226.88361	6.5288086
10.517365	225.19887	6.5385742
10.518291	224.25261	6.5483398
10.520511	223.46172	6.5581055
10.520726	225.7756	6.5678711
10.52101	230.12747	6.5776367
10.521519	233.45911	6.5874023
10.523055	228.80682	6.597168
10.523582	228.03094	6.6069336
10.524747	225.0255	6.6166992
10.524938	228.97169	6.6264648
10.526352	231.97449	6.6362305
10.52601	232.77905	6.6459961
10.527246	232.95309	6.6557617
10.52847	233.82446	6.6655273
10.528366	230.33466	6.675293
10.53102	227.95468	6.6850586
10.531131	231.38562	6.6948242
10.532049	238.57175	6.7045898
10.533199	237.37903	6.7143555
10.532418	238.25085	6.7241211
10.533945	232.69041	6.7338867
10.534565	232.49413	6.7436523
10.536102	235.83667	6.753418
10.536743	235.61182	6.7631836
10.536597	240.97261	6.7729492
10.539007	244.42973	6.7827148
10.538301	238.18019	6.7924805
10.539612	234.74127	6.8022461
10.540963	232.95393	6.8120117
10.541718	240.23441	6.8217773
10.542203	243.7924	6.831543
10.542254	245.66954	6.8413086
10.542877	242.08589	6.8510742
10.544056	239.69527	6.8608398
10.545182	237.80109	6.8706055
10.545767	240.44197	6.8803711
10.547023	244.67653	6.8901367
10.547769	250.64719	6.8999023
10.549147	248.40639	6.909668
10.548671	242.15097	6.9194336
10.550426	238.57568	6.9291992
10.550527	243.59801	6.9389648
10.551524	249.93492	6.9487305
10.552065	252.68442	6.9584961
10.553624	248.9192	6.9682617
10.553511	247.43886	6.9780273
10.554496	245.36116	6.987793
10.555984	242.56685	6.9975586
10.555862	250.20599	7.0073242
10.557378	253.84897	7.0170898
10.558336	256.48026	7.0268555
10.558888	252.80342	7.0366211
10.559012	245.51788	7.0463867
10.561397	247.69232	7.0561523
10.561065	251.80247	7.065918
10.561774	257.75082	7.0756836
10.562876	256.60257	7.0854492
10.563789	254.37474	7.0952148
10.56551	254.70511	7.1049805
10.565749	250.89392	7.1147461
10.566104	251.82068	7.1245117
10.567236	256.45892	7.1342773
10.568152	261.09305	7.144043
10.568252	262.75021	7.1538086
10.568482	254.87805	7.1635742
10.571054	253.21758	7.1733398
10.5712	257.32608	7.1831055
10.570943	257.64996	7.1928711
10.573156	261.48773	7.2026367
10.573775	261.55286	7.2124023
10.574049	262.63171	7.222168
10.575314	259.99313	7.2319336
10.576389	258.05963	7.2416992
10.577422	256.28925	7.2514648
10.578888	263.97641	7.2612305
10.579275	269.19119	7.2709961
10.579508	265.13696	7.2807617
10.580475	263.13657	7.2905273
10.581861	261.08371	7.300293
10.581997	262.35876	7.3100586
10.581957	263.66504	7.3198242
10.584921	266.98438	7.3295898
10.585579	270.06317	7.3393555
10.58563	269.69846	7.3491211
10.585885	265.64822	7.3588867
10.586798	261.88977	7.3686523
10.587193	265.27325	7.378418
10.589345	271.42563	7.3881836
10.588807	271.27386	7.3979492
10.590381	274.20398	7.4077148
10.590183	268.81113	7.4174805
10.591134	267.4003	7.4272461
10.592613	266.44641	7.4370117
10.592704	268.98166	7.4467773
10.59549	275.80856	7.456543
10.594998	278.87537	7.4663086
10.596022	274.31155	7.4760742
10.596784	269.57373	7.4858398
10.59734	267.177	7.4956055
10.598458	274.51202	7.5053711
10.599464	277.04364	7.5151367
10.599196	279.27695	7.5249023
10.599727	278.80386	7.534668
10.601461	274.86343	7.5444336
10.601469	273.77982	7.5541992
10.602994	272.55695	7.5639648
10.603557	278.40393	7.5737305
10.604794	284.30957	7.5834961
10.605289	282.95535	7.5932617
10.606166	278.56851	7.6030273
10.607663	273.8024	7.612793
10.607446	276.32797	7.6225586
10.608676	281.21939	7.6323242
10.608973	285.57928	7.6420898
10.610795	284.37686	7.6518555
10.61061	285.58228	7.6616211
10.613222	281.88016	7.6713867
10.611937	276.70004	7.6811523
10.614511	283.36664	7.690918
10.614456	287.81143	7.7006836
10.614922	290.04083	7.7104492
10.616339	288.51654	7.7202148
10.616924	281.11545	7.7299805
10.61681	281.06097	7.7397461
10.618184	283.04794	7.7495117
10.618647	289.78271	7.7592773
10.620559	290.24014	7.769043
10.621717	290.65219	7.7788086
10.622244	289.62033	7.7885742
10.622353	283.64392	7.7983398
10.623298	284.99197	7.8081055
10.624151	288.88031	7.8178711
10.624546	295.5665	7.8276367
10.627429	295.78622	7.8374023
10.625983	290.34158	7.847168
10.626844	289.84052	7.8569336
10.627399	289.84811	7.8666992
10.629828	292.27844	7.8764648
10.629551	294.57037	7.8862305
10.63163	296.45032	7.8959961
